,Shewanella sp. ANA-3,Burkholderia phytofirmans PsJN,Bifidobacterium breve UCC2003,Brevundimonas sp. GW460-12-10-14-LB2,Bacteroides thetaiotaomicron VPI-5482,Paraburkholderia bryophila 376MFSha3.1,Paraburkholderia graminis OAS925,Phocaeicola vulgatus CL09T03C04,Ralstonia sp. UNC404CL21Col,Caulobacter crescentus NA1000,"Echinicola vietnamensis KMM 6221, DSM 17526",Cupriavidus basilensis FW507-4G11,Dickeya dadantii 3937,Dickeya dianthicola 67-19,Dickeya dianthicola ME23,Dinoroseobacter shibae DFL-12,Dyella japonica UNC79MFTsu3.2,Herbaspirillum seropedicae SmR1,Escherichia coli BW25113,Sphingomonas koreensis DSMZ 15582,Klebsiella michiganensis M5al,Lysobacter sp. OAE881,Shewanella oneidensis MR-1,Magnetospirillum magneticum AMB-1,Marinobacter adhaerens HP15,Desulfovibrio vulgaris Miyazaki F,Dechlorosoma suillum PS,Shewanella loihica PV-4,Pedobacter sp. GW460-11-11-14-LB5,Phaeobacter inhibens DSM 17395,Pseudomonas putida KT2440,Shewanella amazonensis SB2B,Sinorhizobium meliloti 1021,Variovorax sp. OAS795,Pseudomonas simiae WCS417,Acidovorax sp. GW101-3H11,Azospirillum brasilense Sp245,Pseudomonas stutzeri RCH2,Pseudomonas fluorescens GW456-L13,Pseudomonas fluorescens FW300-N1B4,Pseudomonas fluorescens FW300-N2E3,Pseudomonas fluorescens FW300-N2C3,Pseudomonas fluorescens FW300-N2E2,Rhodanobacter denitrificans FW104-10B01
"1,2-Propanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
"1,3-Butandiol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
"1,4-Butanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
"1,5-Pentanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
1-Pentanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
2-Deoxy-D-Ribose,No Growth,No Growth,,,,Growth,Growth,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,Growth,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
2-methyl-1-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
3-Methyl-2-Oxobutanoic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
3-methyl-1-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
3-methyl-2-oxopentanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
4-Aminobutyric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
4-Hydroxybenzoic Acid,No Growth,No Growth,,,,,Growth,,,No Growth,,Growth,,,,No Growth,,Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,Growth,No Growth,No Growth,Growth,Growth,No Growth,,No Growth,No Growth,Growth,Growth,Growth,Growth,
4-Hydroxyvalerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
4-Methyl-2-oxovaleric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
5-Aminovaleric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
5-Keto-D-Gluconic Acid potassium salt,No Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
6-O-Acetyl-D-glucose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenosine,No Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,Growth,,Growth,,No Growth,,No Growth,Growth,No Growth,,,Growth,No Growth,,No Growth,No Growth,,No Growth,No Growth,Growth,Growth,Growth,No Growth,
Agro_defined_trehalose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,
Azelaic acid,,Growth,,,,Growth,Growth,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta-Lactose,No Growth,No Growth,Growth,,Growth,,Growth,,,Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,Growth,,,No Growth,Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
Citric Acid,No Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Cytidine,Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,Growth,No Growth,Growth,,Growth,,No Growth,,No Growth,No Growth,No Growth,,,Growth,No Growth,,Growth,No Growth,,No Growth,No Growth,Growth,Growth,Growth,No Growth,
"D,L-Malic Acid",No Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,Growth,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-(-)-tagatose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,
D-Alanine,No Growth,Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,No Growth,Growth,No Growth,Growth,,No Growth,,Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,,Growth,No Growth,,Growth,Growth,Growth,Growth,Growth,Growth,
D-Arabinose,No Growth,No Growth,,,Growth,,Growth,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,Growth,Growth,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Fructose,No Growth,Growth,Growth,,Growth,,Growth,,,No Growth,Growth,Growth,,,,No Growth,Growth,No Growth,Growth,Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
D-Galactose,No Growth,Growth,Growth,,Growth,,Growth,,,No Growth,Growth,,,,,No Growth,Growth,Growth,Growth,No Growth,,Growth,No Growth,,No Growth,,No Growth,Growth,Growth,,,No Growth,Growth,Growth,Growth,Growth,,No Growth,Growth,Growth,No Growth,Growth,Growth,
D-Galacturonic Acid monohydrate,No Growth,Growth,,,Growth,,Growth,,,No Growth,,,,,,No Growth,,Growth,Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,Growth,,Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,No Growth,Growth,No Growth,Growth,No Growth,
D-Gluconic Acid sodium salt,No Growth,Growth,,,,,Growth,,,No Growth,,Growth,,,,No Growth,,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
D-Glucosamine Hydrochloride,Growth,Growth,,,Growth,,Growth,Growth,,No Growth,Growth,,,,,No Growth,,No Growth,Growth,No Growth,Growth,,Growth,,No Growth,,No Growth,Growth,Growth,,,No Growth,Growth,,Growth,No Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Glucose,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,,,,,Growth,Growth,Growth,Growth,Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Glucose-6-Phosphate sodium salt,No Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,Growth,Growth,No Growth,Growth,Growth,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
D-Glucuronic Acid,No Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,Growth,Growth,No Growth,,Growth,No Growth,,No Growth,,No Growth,No Growth,No Growth,,Growth,No Growth,No Growth,Growth,Growth,No Growth,,No Growth,No Growth,Growth,No Growth,Growth,Growth,
D-Lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
D-Maltose monohydrate,Growth,No Growth,Growth,,Growth,,,Growth,,Growth,Growth,,,,,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,,No Growth,,No Growth,Growth,Growth,,,Growth,Growth,,No Growth,No Growth,,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
D-Mannitol,No Growth,Growth,,,,,,,,Growth,,,,,,Growth,,No Growth,Growth,Growth,,,No Growth,,No Growth,,No Growth,No Growth,Growth,,,Growth,Growth,,Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,
D-Mannose,No Growth,Growth,,,Growth,,Growth,,,Growth,Growth,,,,,Growth,,Growth,Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,
D-Raffinose pentahydrate,No Growth,No Growth,,,Growth,,Growth,Growth,,Growth,Growth,,,,,No Growth,,No Growth,No Growth,Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
D-Ribose,No Growth,Growth,Growth,,Growth,,Growth,,,No Growth,,,,,,No Growth,,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,Growth,Growth,Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,No Growth,
D-Salicin,No Growth,No Growth,,,,,,,,Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,Growth,,,No Growth,Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Serine,No Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,No Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,Growth,No Growth,No Growth,,No Growth,Growth,No Growth,Growth,No Growth,No Growth,
D-Sorbitol,No Growth,Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,,No Growth,Growth,Growth,No Growth,Growth,Growth,
D-Tagatose,No Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Trehalose dihydrate,No Growth,No Growth,Growth,,Growth,,Growth,,,No Growth,Growth,,,,,Growth,,No Growth,Growth,Growth,Growth,,No Growth,,Growth,,No Growth,No Growth,Growth,Growth,,No Growth,Growth,,Growth,No Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Xylose,No Growth,Growth,,,Growth,,Growth,,,Growth,Growth,,,,,No Growth,,Growth,Growth,Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,Growth,Growth,,No Growth,Growth,Growth,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,
Decanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
Disodium Glutarate,,Growth,,,,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodecandioic acid,,Growth,,,,Growth,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol,No Growth,No Growth,,,,,,,,No Growth,,Growth,,,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,,Growth,,No Growth,No Growth,No Growth,,Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,
Ferulic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
Fumaric acid,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gly-DL-Asp,Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,,,Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,,No Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Gly-Glu,Growth,Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,Growth,,Growth,,No Growth,,No Growth,Growth,No Growth,,,Growth,No Growth,Growth,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
Glycerol,No Growth,No Growth,,,,,Growth,,,No Growth,,,Growth,Growth,Growth,Growth,,Growth,Growth,No Growth,Growth,,No Growth,,Growth,,No Growth,No Growth,No Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
Glycine,No Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,Growth,,No Growth,No Growth,,No Growth,No Growth,,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Glycolic Acid,No Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,No Growth,Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,Growth,No Growth,No Growth,,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Heptanoic acid,,,,,,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
Hexanoic acid,,,,,,Growth,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
Hydroxy-L-Proline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,
Inosine,Growth,No Growth,,,,,Growth,,,No Growth,,,,,,No Growth,,No Growth,No Growth,No Growth,Growth,,Growth,,No Growth,,No Growth,Growth,No Growth,,,Growth,No Growth,,Growth,No Growth,,No Growth,Growth,Growth,Growth,Growth,No Growth,
Isomaltose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaconic Acid,No Growth,No Growth,,,,,,,,No Growth,,,,,,No Growth,,Growth,No Growth,No Growth,,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,No Growth,No Growth,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-(-)-sorbose,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,
L-Alanine,Growth,Growth,,,,,Growth,,,Growth,,Growth,,,,No Growth,Growth,No Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,No Growth,No Growth,No Growth,,,Growth,No Growth,Growth,Growth,No Growth,,Growth,Growth,Growth,Growth,Growth,Growth,
